stage,subject,domain,node_id,name,status,grade,difficulty,prerequisites,extends,curriculum_points,tree_file
elementary,science,物质科学,sci-e-friction,摩擦力,placeholder,5,2,sci-e-push-pull-force,,认识物体有多种运动形式，力可以改变物体的运动状态，运动的物体具有能量，了解日常生活中能存在的不同形式。；运用简单模型描述和解释物体间的相互作用；基于证据论证能的转化与能量守恒，理解其在社会生活中的意义。,data/trees/cn/elementary/science.json
elementary,science,物质科学,sci-e-simple-machines,简单机械（杠杆、滑轮、斜面）,placeholder,6,3,sci-e-friction,,知道生活中常见的力，认识力可以改变物体的形状。；认识物体有多种运动形式，力可以改变物体的运动状态，运动的物体具有能量，了解日常生活中能存在的不同形式。；知道常见简单科技产品的结构决定了其功能，知道简单的制作问题需要定义和界定。,data/trees/cn/elementary/science.json
elementary,science,物质科学,sci-e-energy-forms,能量的多种形式,placeholder,6,3,sci-e-heat-transfer|sci-e-electricity-basic,,认识物体有多种运动形式，力可以改变物体的运动状态，运动的物体具有能量，了解日常生活中能存在的不同形式。；知道自然界存在多种形式的能，不同形式的能可以相互转化；初步了解热能及其传递方式。,data/trees/cn/elementary/science.json
elementary,science,生命科学,sci-e-ecosystem,生物与环境（食物链、食物网）,placeholder,5,3,sci-e-classification,,简单描述生物与生物、生物与环境之间相互依存的关系，以及生物的多样性和进化现象。；认识人与环境之间的相互关系；说明生物多样性和适应性是进化的结果。初步形成生物体的结构与功能、物质与能量、稳定与变化、进化与适应的观念。,data/trees/cn/elementary/science.json
elementary,science,生命科学,sci-e-environment-protection,环境保护与生态平衡,placeholder,6,3,sci-e-ecosystem,,认识生物与环境的相互关系，简单描述生物与生物、生物与环境之间相互依存的关系，以及生物的多样性和进化现象。；热爱自然，具有节约资源、保护环境、推动生态文明建设和可持续发展的责任感。；知道人类生活离不开自然资源，能认识到节约自然资源和保护环境的重要性。,data/trees/cn/elementary/science.json
elementary,science,生命科学,sci-e-human-body-systems,人体主要器官系统,placeholder,4,2,sci-e-animal-features,,认识常见物体的基本外部特征，认识生活中常见的材料；知道生活中常见的力，认识力可以改变物体的形状。；能区分植物和动物的主要特征，并能对植物和动物进行简单分类；认识植物的某些结构、动物的某些结构与行为具有维持自身生存的功能。,data/trees/cn/elementary/science.json
elementary,science,生命科学,sci-e-nutrition-health,饮食、营养与健康,placeholder,5,2,sci-e-human-body-systems,,小学5年级学段目标：理解并掌握「饮食、营养与健康」的基本概念与方法；学业要求：能在真实情境中识别、运用「饮食、营养与健康」解决问题；活动建议：通过观察、实验、练习、讨论等方式深化对「饮食、营养与健康」的理解,data/trees/cn/elementary/science.json
elementary,science,生命科学,sci-e-disease-prevention,疾病预防与卫生习惯,placeholder,6,2,sci-e-nutrition-health,,小学6年级学段目标：理解并掌握「疾病预防与卫生习惯」的基本概念与方法；学业要求：能在真实情境中识别、运用「疾病预防与卫生习惯」解决问题；活动建议：通过观察、实验、练习、讨论等方式深化对「疾病预防与卫生习惯」的理解,data/trees/cn/elementary/science.json
elementary,science,地球与宇宙科学,sci-e-earth-surface-change,地表的变化（侵蚀、沉积、火山、地震）,placeholder,5,3,sci-e-rocks-soil,,小学5年级学段目标：理解并掌握「地表的变化（侵蚀、沉积、火山、地震）」的基本概念与方法；学业要求：能在真实情境中识别、运用「地表的变化（侵蚀、沉积、火山、地震）」解决问题；活动建议：通过观察、实验、练习、讨论等方式深化对「地表的变化（侵蚀、沉积、火山、地震）」的理解,data/trees/cn/elementary/science.json
elementary,science,地球与宇宙科学,sci-e-climate,气候与气候变化,placeholder,6,3,sci-e-seasons|sci-e-water-earth,,小学6年级学段目标：理解并掌握「气候与气候变化」的基本概念与方法；学业要求：能在真实情境中识别、运用「气候与气候变化」解决问题；活动建议：通过观察、实验、练习、讨论等方式深化对「气候与气候变化」的理解,data/trees/cn/elementary/science.json
elementary,science,地球与宇宙科学,sci-e-solar-system,太阳系,placeholder,6,3,sci-e-moon-phases,,知道太阳、地球和月球，知道它们之间的空间关系；知道地球系统由大气圈、水圈、土壤圈、岩石圈和生物圈等构成。；知道太阳、地球和月球的周期性运动以及相关的自然现象，能认识到太空探索拓宽了人类的视野。；知道不同层次的天体系统，认识地球所处的宇宙环境，能运用太阳、地球和月球的相对运动解释相关的自然现象。,data/trees/cn/elementary/science.json
elementary,science,地球与宇宙科学,sci-e-space-exploration,人类的航天探索,placeholder,6,3,sci-e-solar-system,,知道太阳、地球和月球的周期性运动以及相关的自然现象，能认识到太空探索拓宽了人类的视野。；知道不同层次的天体系统，认识地球所处的宇宙环境，能运用太阳、地球和月球的相对运动解释相关的自然现象，关注天文和航天事业的进展。,data/trees/cn/elementary/science.json
elementary,science,技术与工程,sci-e-tools-use,常见工具的使用,placeholder,1,1,sci-e-object-properties,,知道简单工具的功能和使用方法，能利用身边的材料和简单工具动手完成简单的任务，能发现作品中存在的问题并尝试提出解决方案。；掌握常见工具的使用方法；能拆开简单产品并复原，制作某种产品的简化实物模型并反映其中的部分科学原理；能发现作品的不足并进行改进。,data/trees/cn/elementary/science.json
elementary,science,技术与工程,sci-e-design-process,设计与制作（工程设计初步）,placeholder,3,2,sci-e-tools-use,,技术与工程实践能力体现在：了解技术与工程实践的一般过程和方法，针对实际需要明确问题，提出有创意的方案，并根据科学原理或限制条件进行筛选；实施计划，利用工具和材料进行加工制作；根据实际效果进行修改迭代；用自制的简单装置及实物模型验证或展示某些原理、现象和设想。；知道简单工程存在一定约束条件及验收标准。；能利用材料和工具，通过口述、绘画、画图等方式表达自己的想法。,data/trees/cn/elementary/science.json
elementary,science,技术与工程,sci-e-bridge-structure,结构与稳定性（搭建桥梁）,placeholder,4,2,sci-e-design-process,,知道常见简单科技产品的结构决定了其功能，知道简单的制作问题需要定义和界定。；能利用材料和工具，通过口述、绘画、画图等方式表达自己的想法。；知道简单工具的功能和使用方法，能利用身边的材料和简单工具动手完成简单的任务，能发现作品中存在的问题并尝试提出解决方案。,data/trees/cn/elementary/science.json
